Experiment.ID	Trace.ID	date	channel	ROI	total.ROI.number	Area	Stimulation.after.frame	Time.for.requelibration	No.of.frames	Baseline	Mean.change	line.Fitted.change	Min.change	Max.change	period	period.SD	No.of.oscillations	time	value	value.SD	norm.value	norm.value.SD
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	180	2357.8486	1033.9204	0.9829	0.431
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	360	2417.104	1066.3184	1.0076	0.4445
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	540	2405.6816	1174.0983	1.0029	0.4894
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	720	2209.6602	1112.9712	0.9211	0.464
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	900	2343.323	1204.9407	0.9769	0.5023
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	1080	2439.2468	1177.0564	1.0169	0.4907
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	1260	2381.0291	1239.1157	0.9926	0.5166
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	1440	2260.7668	1147.6221	0.9424	0.4784
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	1620	2415.9905	1287.7594	1.0072	0.5368
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	1800	2280.1497	1243.6902	0.9505	0.5185
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	1980	2310.0984	1267.3593	0.963	0.5283
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	2160	2406.7524	1271.4153	1.0033	0.53
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	2340	2356.4375	1239.6946	0.9823	0.5168
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	2520	2455.2356	1264.9131	1.0235	0.5273
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	2700	2412.1313	1235.5596	1.0055	0.5151
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	2880	2438.9456	1306.2501	1.0167	0.5445
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	3060	2532.1118	1401.9753	1.0556	0.5844
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	3240	2537.4587	1398.3804	1.0578	0.5829
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	3420	2492.137	1360.0012	1.0389	0.5669
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	3600	2425.4614	1334.0533	1.0111	0.5561
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	3780	2497.6772	1354.3636	1.0412	0.5646
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	3960	2484.0522	1358.7715	1.0355	0.5664
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	4140	2337.6306	1248.6276	0.9745	0.5205
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	4320	2296.3801	1166.9375	0.9573	0.4865
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	4500	2188.5715	1179.8547	0.9124	0.4918
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	4680	2243.9729	1078.9481	0.9354	0.4498
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	4860	2230.2068	1058.959	0.9297	0.4414
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	5040	2410.8093	1173.7338	1.005	0.4893
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	5220	2396.2737	1223.9231	0.9989	0.5102
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	5400	2377.4246	1269.0934	0.9911	0.529
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	5580	2432.7388	1252.6815	1.0141	0.5222
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	5760	2331.4214	1229.4637	0.9719	0.5125
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	5940	2395.1726	1227.0823	0.9985	0.5115
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	6120	2514.9456	1293.1282	1.0484	0.5391
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	6300	2605.3188	1397.2344	1.0861	0.5825
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	6480	2769.6707	1353.5421	1.1546	0.5643
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	6660	2713.051	1476.5592	1.131	0.6155
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	6840	2862.7642	1533.0845	1.1934	0.6391
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	7020	2591.2258	1451.8995	1.0802	0.6053
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	7200	2790.2395	1474.582	1.1632	0.6147
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	7380	2859.1414	1590.5587	1.1919	0.6631
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	7560	2880.1216	1631.7744	1.2006	0.6802
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	7740	2999.8533	1747.9944	1.2506	0.7287
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	7920	3050.4373	1796.3756	1.2716	0.7489
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	8100	2856.6191	1744.6207	1.1908	0.7273
Abl activity	Abl activity.CFP channel.1	19700101	CFP channel	1	24	292.5429	21.0	5.0	140	2398.8213	34.7459	20.5581	-3.2647	56.7552	4.4762	2.0644	22	8280	3065.9807	1731.7349	1.2781	0.7219
