Experiment.ID	Trace.ID	date	channel	ROI	total.ROI.number	Area	Stimulation.after.frame	Time.for.requelibration	No.of.frames	Baseline	Mean.change	line.Fitted.change	Min.change	Max.change	period	period.SD	No.of.oscillations	time	value	value.SD	norm.value	norm.value.SD
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	180	2868.0649	1145.2502	1.0444	0.4171
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	360	2868.0122	1134.1742	1.0444	0.413
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	540	2756.708	1112.998	1.0039	0.4053
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	720	2719.9897	1061.1071	0.9905	0.3864
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	900	2808.0283	1122.4409	1.0226	0.4088
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	1080	2698.2485	1026.2034	0.9826	0.3737
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	1260	2770.8191	1007.907	1.009	0.367
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	1440	2622.1833	1018.8563	0.9549	0.371
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	1620	2920.6936	1107.905	1.0636	0.4035
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	1800	2746.1074	1074.9133	1	0.3914
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	1980	2750.8882	1044.7494	1.0018	0.3805
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	2160	2684.2546	967.1931	0.9775	0.3522
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	2340	2613.939	981.695	0.9519	0.3575
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	2520	2678.0244	1023.2329	0.9752	0.3726
AKT_PKB activity (Eevee AKT)	AKT_PKB activity (Eevee AKT).CFP channel.1	19700101	CFP channel	1	36	492.0143	21.0	5.0	140	2746.026	27.5491	11.3236	-1.5449	44.4409	5.0952	3.0644	22	2700	2697.7556	994.0377	0.9824	0.362
