Experiment.ID	Trace.ID	date	channel	ROI	total.ROI.number	Area	Stimulation.after.frame	Time.for.requelibration	No.of.frames	Baseline	Mean.change	line.Fitted.change	Min.change	Max.change	period	period.SD	No.of.oscillations	time	value	value.SD	norm.value	norm.value.SD
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	180	7027.5269	4262.3198	1.0246	0.6214
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	360	6985.0029	4244.1992	1.0184	0.6188
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	540	6872.2422	4252.6377	1.002	0.62
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	720	6933.9409	4332.2075	1.011	0.6316
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	900	6912.0425	4197.7192	1.0078	0.612
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	1080	6866.9072	4180.4082	1.0012	0.6095
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	1260	6288.0425	3729.5474	0.9168	0.5438
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	1440	7182.2256	4250.3374	1.0472	0.6197
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	1620	7069.1577	4184.5776	1.0307	0.6101
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	1800	6840.2056	4168.5127	0.9973	0.6078
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	1980	6930.2451	4060.532	1.0104	0.592
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	2160	6712.5381	3889.187	0.9787	0.567
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	2340	6695.3745	3899.1143	0.9762	0.5685
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	2520	6665.3774	3982.2881	0.9718	0.5806
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	2700	6648.104	3958.6414	0.9693	0.5772
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	2880	6760.2002	4088.7988	0.9856	0.5961
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	3060	6811.9888	4077.0698	0.9932	0.5944
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	3240	7094.1748	4279.5703	1.0343	0.624
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	3420	6962.7012	4169.5347	1.0152	0.6079
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	3600	6899.2505	4102.2773	1.0059	0.5981
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	3780	6876.752	3989.7434	1.0026	0.5817
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	3960	6984.8618	4060.3921	1.0184	0.592
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	4140	6957.6621	4041.8013	1.0144	0.5893
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	4320	7050.8618	4095.7754	1.028	0.5972
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	4500	6928.5435	4107.5645	1.0102	0.5989
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	4680	7187.6646	4221.1396	1.048	0.6154
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	4860	6933.0225	4018.7844	1.0108	0.5859
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	5040	7168.2881	4172.0156	1.0451	0.6083
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	5220	7091.9351	4126.9761	1.034	0.6017
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	5400	7436.7041	4342.23	1.0843	0.6331
Cdk1_1	Cdk1_1.CFP channel.1	19700101	CFP channel	1	13	354.7929	21.0	5.0	140	6858.7619	16.1057	22.1338	-16.8987	37.0155	6.625	5.4268	17	5580	7071.521	4193.9775	1.031	0.6115
