Experiment.ID	Trace.ID	date	channel	ROI	total.ROI.number	Area	Stimulation.after.frame	Time.for.requelibration	No.of.frames	Baseline	Mean.change	line.Fitted.change	Min.change	Max.change	period	period.SD	No.of.oscillations	time	value	value.SD	norm.value	norm.value.SD
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	180	2336.8315	790.5803	1.0334	0.3496
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	360	2329.4612	754.1644	1.0302	0.3335
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	540	2297.855	659.4287	1.0162	0.2916
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	720	2164.1968	717.6174	0.9571	0.3174
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	900	2110.031	653.0837	0.9331	0.2888
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	1080	2245.6501	669.4826	0.9931	0.2961
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	1260	2312.5364	755.9733	1.0227	0.3343
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	1440	2203.4326	668.3176	0.9744	0.2955
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	1620	2391.8652	717.8451	1.0578	0.3175
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	1800	2243.4819	707.3632	0.9921	0.3128
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	1980	2290.6321	693.3263	1.013	0.3066
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	2160	2345.9714	702.4984	1.0375	0.3107
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	2340	2149.7668	689.4659	0.9507	0.3049
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	2520	2214.9973	633.5268	0.9795	0.2802
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	2700	2198.7695	609.4668	0.9724	0.2695
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	2880	2287.842	642.1436	1.0118	0.284
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	3060	2276.7566	670.7126	1.0068	0.2966
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	3240	2250.2046	660.9558	0.9951	0.2923
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	3420	2360.5286	735.0181	1.0439	0.325
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	3600	2257.5596	758.9746	0.9984	0.3356
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	3780	2218.2771	671.8842	0.981	0.2971
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	3960	2422.2747	700.0774	1.0712	0.3096
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	4140	2499.2124	619.8397	1.1052	0.2741
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	4320	2403.1787	682.3176	1.0628	0.3017
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	4500	2511.6995	706.8528	1.1107	0.3126
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	4680	2498.7747	761.171	1.105	0.3366
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	4860	2473.8342	752.4463	1.094	0.3328
Src activity (Src cytosol)	Src activity (Src cytosol).CFP channel.1	19700101	CFP channel	1	24	379.5071	21.0	5.0	140	2261.2689	69.8561	-28.2212	5.3343	189.5746	5.6316	5.7947	20	5040	2406.1787	794.7252	1.0641	0.3515
