Experiment.ID	Trace.ID	date	channel	ROI	total.ROI.number	Area	Stimulation.after.frame	Time.for.requelibration	No.of.frames	Baseline	Mean.change	line.Fitted.change	Min.change	Max.change	period	period.SD	No.of.oscillations	time	value	value.SD	norm.value	norm.value.SD
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	180	8486.333	2139.6572	1.0735	0.2707
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	360	8032.1846	2271.0745	1.0161	0.2873
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	540	8130.6738	2331.5847	1.0285	0.295
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	720	7442.1133	2415.0283	0.9414	0.3055
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	900	7982.2554	2581.8167	1.0098	0.3266
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	1080	7661.8867	2384.2366	0.9692	0.3016
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	1260	7816.8726	2589.1416	0.9889	0.3275
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	1440	7237.6738	2569.2646	0.9156	0.325
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	1620	8265.5391	2398.3037	1.0456	0.3034
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	1800	7898.397	2446.0627	0.9992	0.3094
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	1980	7771.8936	2620.437	0.9832	0.3315
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	2160	7989.2271	2357.386	1.0107	0.2982
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	2340	7784.9785	2136.0591	0.9848	0.2702
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	2520	7779.6455	2112.5896	0.9841	0.2672
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	2700	7922.1772	2261.2151	1.0022	0.286
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	2880	7630.8936	1783.1019	0.9653	0.2256
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	3060	7903.8013	2184.0918	0.9998	0.2763
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	3240	8316.2695	2422.2017	1.052	0.3064
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	3420	8041.4253	2260.5896	1.0173	0.286
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	3600	8084.2764	2207.3247	1.0227	0.2792
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	3780	7826.7163	2086.668	0.9901	0.264
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	3960	8135.2622	2286.8752	1.0291	0.2893
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	4140	7754.2056	2210.3982	0.9809	0.2796
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	4320	7432.3618	2678.3154	0.9402	0.3388
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	4500	7958.9434	2906.4668	1.0068	0.3677
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	4680	8081.1284	2953.7239	1.0223	0.3737
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	4860	7771.6948	2897.6938	0.9831	0.3666
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	5040	7750.8936	2875.9417	0.9805	0.3638
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	5220	7796.9292	2387.96	0.9863	0.3021
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	5400	7678.248	2881.1287	0.9713	0.3645
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	5580	8113.3262	3036.4148	1.0264	0.3841
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	5760	7650.4824	2637.4597	0.9678	0.3336
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	5940	8295.0713	3021.2896	1.0493	0.3822
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	6120	7766.3687	2895.4731	0.9825	0.3663
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	6300	7888.7021	3087.3098	0.9979	0.3906
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	6480	7709.5176	2725.0193	0.9753	0.3447
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	6660	8067.6948	3187.8269	1.0206	0.4033
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	6840	8197.8223	3066.1577	1.037	0.3879
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	7020	7605.3828	2800.772	0.9621	0.3543
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	7200	7916.8086	2911.4893	1.0015	0.3683
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	7380	8061.1562	2745.1948	1.0198	0.3473
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	7560	7868.1772	2737.9126	0.9953	0.3464
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	7740	8161.4043	3158.2661	1.0324	0.3995
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	7920	8018.709	3071.158	1.0144	0.3885
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	8100	8169.8154	2768.6965	1.0335	0.3502
EGFR activity (PicchuEV)	EGFR activity (PicchuEV).CFP channel.1	19700101	CFP channel	1	20	135.9857	21.0	5.0	140	7905.0111	22.1619	3.8469	-2.0618	58.9603	4.75	2.7697	21	8280	8202.0635	2943.907	1.0376	0.3724
