Experiment.ID	Trace.ID	date	channel	ROI	total.ROI.number	Area	Stimulation.after.frame	Time.for.requelibration	No.of.frames	Baseline	Mean.change	line.Fitted.change	Min.change	Max.change	time	value	value.SD	norm.value	norm.value.SD
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001055	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	180	3607.0547	1314.2621	1.006	0.3666
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001066	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	360	3592.8572	1303.494	1.0021	0.3636
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001074	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	540	3615.3557	1325.2385	1.0084	0.3696
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001066	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	720	3551.7634	1314.9807	0.9906	0.3668
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001064	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	900	3532.0818	1310.0046	0.9851	0.3654
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001075	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	1080	3564.8269	1323.7019	0.9943	0.3692
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001066	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	1260	3588.4434	1313.8007	1.0009	0.3664
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001062	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	1440	3601.4907	1326.9146	1.0045	0.3701
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001073	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	1620	3624.9802	1318.265	1.011	0.3677
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001072	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	1800	3553.3696	1334.8788	0.9911	0.3723
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001069	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	1980	3606.9683	1312.6084	1.006	0.3661
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001108	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	2160	3489.1819	1031.6025	0.9732	0.2877
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001062	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	2340	3774.2537	1291.0078	1.0527	0.3601
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001065	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	2520	3680.0229	1247.0759	1.0264	0.3478
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001076	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	2700	3705.77	1270.851	1.0336	0.3545
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.0000108	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	2880	3663.1748	1320.5613	1.0217	0.3683
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001076	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	3060	3629.4177	1347.6975	1.0123	0.3759
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001077	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	3240	3647.3862	1346.9167	1.0173	0.3757
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001068	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	3420	3663.7393	1371.4431	1.0219	0.3825
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001084	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	3600	3650.8643	1353.1418	1.0183	0.3774
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001082	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	3780	3596.2288	1337.384	1.003	0.373
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001083	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	3960	3631.166	1363.7659	1.0128	0.3804
20130816_Eevee AKT_EGF_100ngml_Kyoto_11	20130816_Eevee AKT_EGF_100ngml_Kyoto_11.CFP channel.1	19700101	CFP channel	1	23	0.00001084	11.0	1.0	160	3585.3811	19.2234	6.5756	1.1353	35.1764	4140	3685.3633	1437.241	1.0279	0.4009
